Problem, Dinics, Ford Fulkerson, Push Relabel, Tidal Flow
airports, 0m0.401s, 0m0.365s, 0m0.906s, 0m0.425s 
alphabet, 0m0.329s, 0m0.015s, 0m0.377s, 0m0.018s 
containment, 0m1.551s, 0m0.657s, 0m0.707s, 0m0.677s 
steeplechase, 0m0.069s, 0m0.040s, 0m0.049s, 0m0.045s 
traffic, 0m16.229s, 0m0.272s, 0m5.005s, 0m0.151s 
guards, 0m20.094s, 0m2.134s, 0m5.005s, 0m0.786s 
hezardastan, 1m44.333s, 0m50.475s, 1m57.750s, 1m18.119s 
openpit, 0m0.148s, 0m0.083s, 0m0.154s, 0m0.079s 
piece, 0m5.009s, 0m5.008s, 0m5.009s, 0m1.003s 
science, 0m7.548s, 0m2.904s, 0m0.976s, 0m0.007s 
