Problem, Algorithm, Max nodes, Max edges, Density, Acyclic?, Unit?, Time
alphabet, DINICS, 522, 1010, 1.93, 0, 0, 0m0.471s
alphabet, FORD_FULKERSON, 522, 1010, 1.93, 0, 0, 0m0.017s
alphabet, PUSH_RELABEL, 522, 1010, 1.93, 0, 0, 0m0.468s
alphabet, TIDAL_FLOW, 522, 1010, 1.93, 0, 0, 0m0.020s
airports, DINICS, 1004, 127696, 127.18, 0, 1, 0m0.469s
airports, FORD_FULKERSON, 1004, 127696, 127.18, 0, 1, 0m0.427s
airports, PUSH_RELABEL, 1004, 127696, 127.18, 0, 1, 0m1.511s
airports, TIDAL_FLOW, 1004, 127696, 127.18, 0, 1, 0m0.593s
containment, DINICS, 1005, 7864, 7.82, 0, 0, 0m1.897s
containment, FORD_FULKERSON, 1005, 7864, 7.82, 0, 0, 0m0.816s
containment, PUSH_RELABEL, 1005, 7864, 7.82, 0, 0, 0m0.835s
containment, TIDAL_FLOW, 1005, 7864, 7.82, 0, 0, 0m0.804s
guards, DINICS, 100, 4996, 49.96, 1, 0, 0m18.862s
guards, FORD_FULKERSON, 100, 4996, 49.96, 1, 0, 0m2.160s
guards, PUSH_RELABEL, 100, 4996, 49.96, 1, 0, 0m5.005s
guards, TIDAL_FLOW, 100, 4996, 49.96, 1, 0, 0m0.838s
hezardastan, DINICS, 554, 49977, 90.21, 1, 0, 1m55.617s
hezardastan, FORD_FULKERSON, 554, 49977, 90.21, 1, 0, 1m3.601s
hezardastan, PUSH_RELABEL, 554, 49977, 90.21, 1, 0, 2m1.754s
hezardastan, TIDAL_FLOW, 554, 49977, 90.21, 1, 0, 1m24.727s
openpit, DINICS, 204, 1430, 7.00, 0, 0, 0m0.174s
openpit, FORD_FULKERSON, 204, 1430, 7.00, 0, 0, 0m0.107s
openpit, PUSH_RELABEL, 204, 1430, 7.00, 0, 0, 0m0.173s
openpit, TIDAL_FLOW, 204, 1430, 7.00, 0, 0, 0m0.090s
piece, DINICS, 1, 1, 1.00, 1, 0, 0m5.009s
piece, FORD_FULKERSON, 1, 1, 1.00, 1, 0, 0m5.009s
piece, PUSH_RELABEL, 1, 1, 1.00, 1, 0, 0m5.010s
piece, TIDAL_FLOW, 1, 1, 1.00, 1, 0, 0m1.314s
science, DINICS, 162, 10349, 63.88, 0, 0, 0m7.966s
science, FORD_FULKERSON, 162, 10349, 63.88, 0, 0, 0m3.041s
science, PUSH_RELABEL, 162, 10349, 63.88, 0, 0, 0m0.845s
science, TIDAL_FLOW, 162, 10349, 63.88, 0, 0, 0m0.006s
steeplechase, DINICS, 252, 15868, 62.96, 1, 1, 0m0.082s
steeplechase, FORD_FULKERSON, 252, 15868, 62.96, 1, 1, 0m0.051s
steeplechase, PUSH_RELABEL, 252, 15868, 62.96, 1, 1, 0m0.056s
steeplechase, TIDAL_FLOW, 252, 15868, 62.96, 1, 1, 0m0.058s
traffic, DINICS, 51, 326, 6.39, 1, 0, 0m19.279s
traffic, FORD_FULKERSON, 51, 326, 6.39, 1, 0, 0m0.294s
traffic, PUSH_RELABEL, 51, 326, 6.39, 1, 0, 0m5.006s
traffic, TIDAL_FLOW, 51, 326, 6.39, 1, 0, 0m0.172s
